City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Terrasini,IT,2022-08-25 20:21:03,38.146,13.0844,80.22,70,40,6.91
204,Namatanai,PG,2022-08-25 20:21:03,-3.6667,152.4333,78.04,82,40,5.77
205,Ostrovnoy,RU,2022-08-25 20:21:04,68.0531,39.5131,49.41,93,7,6.82
206,Kavaratti,IN,2022-08-25 20:21:04,10.5669,72.642,80.91,76,100,16.75
207,Cherskiy,RU,2022-08-25 20:21:04,68.75,161.3,39.2,89,100,17.09
208,Barrow,US,2022-08-25 20:19:08,71.2906,-156.7887,42.82,100,100,5.75
209,Mahebourg,MU,2022-08-25 20:21:05,-20.4081,57.7,70.09,68,40,11.5
210,Arona,ES,2022-08-25 20:21:05,28.0996,-16.681,73.69,83,20,16.11
211,Port Macquarie,AU,2022-08-25 20:21:05,-31.4333,152.9167,43.9,78,41,9.24
212,Raudeberg,NO,2022-08-25 20:21:06,61.9875,5.1352,58.87,1,100,11.88
213,Mantua,IT,2022-08-25 20:21:06,45.1667,10.7833,81.64,73,1,1.01
214,Zatoka,UA,2022-08-25 20:21:06,46.0725,30.4654,76.35,60,99,7.0
215,Thaba-Tseka,LS,2022-08-25 20:21:07,-29.522,28.6084,49.3,41,4,5.1
216,Goderich,CA,2022-08-25 20:21:07,43.7501,-81.7165,77.32,65,100,5.75
217,Whitehorse,CA,2022-08-25 20:21:07,60.7161,-135.0538,65.17,61,75,9.22
218,Phalodi,IN,2022-08-25 20:21:08,27.1333,72.3667,81.84,70,85,12.26
219,East London,ZA,2022-08-25 20:20:17,-33.0153,27.9116,62.47,64,73,16.02
220,Samarai,PG,2022-08-25 20:21:09,-10.6167,150.6667,78.64,84,61,7.23
221,Souillac,MU,2022-08-25 20:21:09,-20.5167,57.5167,70.18,68,40,11.5
222,Vilyuysk,RU,2022-08-25 20:21:09,63.7553,121.6247,41.31,94,10,4.12
223,Salalah,OM,2022-08-25 20:20:41,17.0151,54.0924,77.09,100,100,2.3
224,Moranbah,AU,2022-08-25 20:21:10,-22.0016,148.0466,46.36,58,5,8.28
225,Tekari,IN,2022-08-25 20:21:10,24.9333,84.8333,81.01,84,32,5.97
226,Fortuna,US,2022-08-25 20:21:10,40.5982,-124.1573,65.32,88,75,5.75
227,Tortoli,IT,2022-08-25 20:21:11,39.9256,9.6572,78.62,73,0,9.22
228,Susurluk,TR,2022-08-25 20:21:11,39.9136,28.1578,69.58,88,46,3.24
229,Ahipara,NZ,2022-08-25 20:21:11,-35.1667,173.1667,58.46,89,46,18.01
230,Namwala,ZM,2022-08-25 20:22:12,-15.7504,26.4384,68.4,36,5,7.94
231,Lucea,JM,2022-08-25 20:22:12,18.451,-78.1736,78.66,73,52,5.99
232,Dongning,CN,2022-08-25 20:22:13,44.0622,131.1207,51.49,93,0,5.01
233,San Cristobal,VE,2022-08-25 20:22:13,7.7669,-72.225,84.38,53,29,6.49
234,Karuzi,BI,2022-08-25 20:22:13,-3.125,30.1333,70.12,40,99,0.36
235,Pisco,PE,2022-08-25 20:22:14,-13.7,-76.2167,62.65,77,100,5.75
236,Kenai,US,2022-08-25 20:22:14,60.5544,-151.2583,57.29,89,75,11.5
237,Santa Cruz De Tenerife,ES,2022-08-25 20:22:14,28.4682,-16.2546,76.87,88,40,26.46
238,Kuytun,RU,2022-08-25 20:22:15,54.3419,101.5036,44.44,93,64,5.48
239,Maceio,BR,2022-08-25 20:22:15,-9.6658,-35.7353,78.24,69,40,11.5
240,Honiara,SB,2022-08-25 20:22:15,-9.4333,159.95,76.75,86,99,5.77
241,Maposeni,TZ,2022-08-25 20:22:16,-10.5833,35.4,61.83,72,82,3.36
242,Hamilton,US,2022-08-25 20:18:30,39.1834,-84.5333,86.99,51,40,11.5
